MailAddress__c,Comments__c,Level__c,LastName__c,FirstName__c,TelephoneNumber__c,Status__c,
al-Zafar@Slywoglest.net,,Advanced,Slywoglest,al-Zafar,2543526536,,al-Zafar@Slywoglest.net
Havisarathi@Powemdill.net,,Intermediate,Powemdill,Havisarathi,2543526537,,Havisarathi@Powemdill.net
Hasamrunta@Ofegleg.net,,Intermediate,Ofegleg,Hasamrunta,2543526538,,Hasamrunta@Ofegleg.net
Abbinas@Daniel.net,,Beginner,Daniel,Abbinas,2543526539,,Abbinas@Daniel.net
Nenatas@Ye Da.net,,Intermediate,Ye Da,Nenatas,2543526540,,Nenatas@Ye Da.net
Gratog@Liang Jiahao.net,,Advanced,Liang Jiahao,Gratog,2543526541,,Gratog@Liang Jiahao.net
el-Khalili@Chang Wuhan.net,,Advanced,Chang Wuhan,el-Khalili,2543526542,,el-Khalili@Chang Wuhan.net
Lutmohr@Zhong Jie.net,,Beginner,Zhong Jie,Lutmohr,2543526543,,Lutmohr@Zhong Jie.net
Sezog@Zi Lan.net,,Intermediate,Zi Lan,Sezog,2543526544,,Sezog@Zi Lan.net
Wiwlith@Long Wei.net,,Advanced,Long Wei,Wiwlith,2543526545,,Wiwlith@Long Wei.net
Asag@Mo Dong.net,,Advanced,Mo Dong,Asag,2543526546,,Asag@Mo Dong.net
Srazthor@Zhuan Liang.net,,Intermediate,Zhuan Liang,Srazthor,2543526547,,Srazthor@Zhuan Liang.net
Glokos@Kong Xinyi.net,,,Kong Xinyi,Glokos,2543526548,,Glokos@Kong Xinyi.net
Hator@Hao Yuhan.net,,,Hao Yuhan,Hator,2543526549,,Hator@Hao Yuhan.net
Araddius@Lambert.net,,,Lambert,Araddius,2543526550,,Araddius@Lambert.net
